Agent SDK Comparison — Claude vs Codex vs Gemini
NanoClaw FlexAgents multi-runtime architecture

Feature               Claude                                              Codex                                                   Gemini
Runtime               @anthropic-ai/claude-agent-sdk                      codex app-server — JSON-RPC over stdio                  Google ADK (Python)
Agent loop            query() — async iterable of messages                initialize → thread/start → turn/start → notifications  GeminiChat + Scheduler — event-driven
CLI install           @anthropic-ai/claude-code                           @openai/codex                                           @google/gemini-cli
Built-in tools        18: Bash, Read, Write, Edit, Glob, Grep, etc.       Shell, apply_patch, web search + 5 MCP file tools       15+: shell, read/write/replace, glob, grep, web
MCP support           Via query() options (in code)                        Via config.toml — app-server reads on startup            Via .gemini/settings.json + extensions
Skills                .claude/skills/ on-demand via Skill tool             .codex/skills/ native discovery via skills/list          activate_skill + extensions
Session persist       JSONL with resume by UUID                           thread/resume by ID + thread/read for inspection         Chat recording with checkpoint resume
Streaming             Async iterable of typed messages                    JSON-RPC notifications: agentMessage/delta, etc.         StreamEvent (CHUNK, RETRY, STOPPED, BLOCKED)
Compaction            Native auto-compact with pre-compact hook           Native thread/compact/start at 40K tokens                Chat compression with checkpoints
Thread lifecycle      Resume by session ID                                start, resume, fork, rollback, read                     Session checkpoints
Tool approval         permissionMode: bypassPermissions                   approvalPolicy: never + auto-approve notifications       PolicyEngine with TOML rules
Multi-agent           Agent teams — TeamCreate/SendMessage                Host-level via IPC + scheduled tasks                     Subagent tools + A2A protocol
Auth                  OAuth token or API key                              ChatGPT subscription or API key                         API key (free tier: 60 req/min)
Local models          Not possible (Anthropic API only)                   OMLX, Ollama, LiteLLM via baseUrl                       Not confirmed
Open source           No                                                  Yes (Rust)                                              Yes (TypeScript / Python)
Models                Opus 4.6, Sonnet 4.6/4.5, Haiku 4.5                GPT-5.4, 5.4-mini, 5.3-codex, 5.2                      Gemini 2.5 Pro, Flash, Flash Lite
Token tracking        Via SDK usage metadata                              Native thread/tokenUsage/updated with totals            Via API response metadata
